"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2017-10-29","MIL",100,106,23,48,0.4791666666666667,13,29,0.4482758620689655,0.4482758620689655,21,28,18,39,0,0.6086956521739131,0.6363636363636364,1,0.37662337662337664,0.5012805194805194,0.551948051948052,0.5955056179775281,2,3,0.0625,0,0
"2017-11-01","PHI",110,109,33,71,0.4647887323943662,8,23,0.34782608695652173,0.36363636363636365,19,32,34,18,6,0.48484848484848486,0.5517241379310345,0.75,0.24468085106382978,0.4911543010752688,0.4787234042553192,0.5141509433962265,8,4,0.056338028169014086,0,0
"2017-11-03","HOU",100,104,28,48,0.5833333333333334,11,33,0.3333333333333333,0.3333333333333333,15,16,40,24,9,0.2857142857142857,0.2962962962962963,0.7272727272727273,0.4074074074074074,0.5102154320987654,0.5493827160493827,0.5909090909090909,2,4,0.08333333333333333,0,0
"2017-11-05","CLE",101,117,30,61,0.4918032786885246,11,25,0.44,0.4583333333333333,24,28,32,30,3,0.4666666666666667,0.4666666666666667,0.9090909090909091,0.29069767441860467,0.5394317647058824,0.5406976744186046,0.5792079207920792,0,5,0.08196721311475409,1,0.04
"2017-11-06","BOS",94,107,26,55,0.4727272727272727,13,26,0.5,0.52,16,28,24,30,9,0.5384615384615384,0.5833333333333334,0.7692307692307693,0.32098765432098764,0.502595625,0.5617283950617284,0.601123595505618,4,3,0.05454545454545454,0,0
"2017-11-10","DET",97,104,36,65,0.5538461538461539,8,24,0.3333333333333333,0.3333333333333333,8,40,32,24,0,0.5555555555555556,0.625,1,0.2696629213483146,0.5139168539325842,0.5393258426966292,0.5531914893617021,8,5,0.07692307692307693,0,0
"2017-11-11","WAS",98,94,20,50,0.4,14,33,0.42424242424242425,0.42424242424242425,12,12,28,39,3,0.3,0.3333333333333333,0.9285714285714286,0.39759036144578314,0.503371686746988,0.4939759036144578,0.5222222222222223,4,10,0.2,0,0
"2017-11-13","NOP",93,105,23,51,0.45098039215686275,17,36,0.4722222222222222,0.4722222222222222,8,20,26,45,6,0.43478260869565216,0.5,0.8823529411764706,0.41379310344827586,0.5307488505747127,0.5574712643678161,0.5769230769230769,6,4,0.0784313725490196,1,0.027777777777777776
"2017-11-15","SAC",96,126,34,47,0.723404255319149,16,32,0.5,0.5,10,48,20,48,0,0.7058823529411765,0.7058823529411765,1,0.4050632911392405,0.5241936708860759,0.7341772151898734,0.7325581395348837,0,2,0.0425531914893617,0,0
"2017-11-18","BOS",92,99,28,54,0.5185185185185185,9,24,0.375,0.375,16,30,26,27,0,0.5357142857142857,0.6,1,0.3076923076923077,0.4978179487179487,0.532051282051282,0.5697674418604651,6,5,0.09259259259259259,1,0.041666666666666664
"2017-11-20","SAS",94,85,29,55,0.5272727272727272,8,30,0.26666666666666666,0.26666666666666666,3,28,30,21,3,0.4827586206896552,0.5833333333333334,0.875,0.35294117647058826,0.513774705882353,0.4823529411764706,0.48295454545454547,10,5,0.09090909090909091,0,0
"2017-11-22","LAC",93,103,30,54,0.5555555555555556,10,29,0.3448275862068966,0.3448275862068966,13,36,24,24,6,0.6,0.6923076923076923,0.8,0.3493975903614458,0.4948256097560975,0.5421686746987951,0.5722222222222222,8,4,0.07407407407407407,0,0
"2017-11-24","NYK",97,116,34,68,0.5,13,31,0.41935483870967744,0.41935483870967744,9,34,34,39,0,0.5,0.5483870967741935,1,0.31313131313131315,0.5173242424242425,0.5404040404040404,0.5631067961165048,6,9,0.1323529411764706,0,0
"2017-11-25","TOR",91,78,20,48,0.4166666666666667,6,27,0.2222222222222222,0.23076923076923078,20,24,16,18,0,0.6,0.631578947368421,1,0.36,0.5093662162162162,0.38666666666666666,0.45348837209302323,2,3,0.0625,0,0
"2017-11-30","CLE",97,114,29,48,0.6041666666666666,12,31,0.3870967741935484,0.4,20,26,32,33,3,0.4482758620689655,0.4642857142857143,0.9166666666666666,0.3924050632911392,0.5371320512820512,0.5949367088607594,0.6404494382022472,2,4,0.08333333333333333,1,0.03225806451612903
"2017-12-02","BKN",96,114,37,72,0.5138888888888888,10,27,0.37037037037037035,0.37037037037037035,10,22,52,21,9,0.2972972972972973,0.3142857142857143,0.7,0.2727272727272727,0.5068459595959597,0.5252525252525253,0.5436893203883495,4,8,0.1111111111111111,0,0
